Tempo Decorrido,Ocupacao
100.000000,0.97
200.000000,0.99
300.000000,0.99
400.000000,0.98
500.000000,0.97
600.000000,0.97
700.000000,0.98
800.000000,0.98
900.000000,0.98
1000.000000,0.98
1100.000000,0.98
1200.000000,0.98
1300.000000,0.98
1400.000000,0.98
1500.000000,0.98
1600.000000,0.98
1700.000000,0.98
1800.000000,0.98
1900.000000,0.98
2000.000000,0.98
2100.000000,0.98
2200.000000,0.98
2300.000000,0.98
2400.000000,0.98
2500.000000,0.98
2600.000000,0.98
2700.000000,0.98
2800.000000,0.98
2900.000000,0.98
3000.000000,0.98
3100.000000,0.97
3200.000000,0.97
3300.000000,0.97
3400.000000,0.97
3500.000000,0.97
3600.000000,0.97
3700.000000,0.98
3800.000000,0.98
3900.000000,0.98
4000.000000,0.98
4100.000000,0.98
4200.000000,0.98
4300.000000,0.98
4400.000000,0.98
4500.000000,0.98
4600.000000,0.98
4700.000000,0.98
4800.000000,0.98
4900.000000,0.98
5000.000000,0.98
5100.000000,0.98
5200.000000,0.98
5300.000000,0.98
5400.000000,0.98
5500.000000,0.98
5600.000000,0.98
5700.000000,0.98
5800.000000,0.98
5900.000000,0.98
6000.000000,0.98
6100.000000,0.98
6200.000000,0.98
6300.000000,0.98
6400.000000,0.98
6500.000000,0.98
6600.000000,0.98
6700.000000,0.98
6800.000000,0.98
6900.000000,0.98
7000.000000,0.98
7100.000000,0.98
7200.000000,0.98
7300.000000,0.98
7400.000000,0.98
7500.000000,0.98
7600.000000,0.98
7700.000000,0.98
7800.000000,0.98
7900.000000,0.98
8000.000000,0.98
8100.000000,0.98
8200.000000,0.98
8300.000000,0.98
8400.000000,0.98
8500.000000,0.98
8600.000000,0.98
8700.000000,0.98
8800.000000,0.98
8900.000000,0.98
9000.000000,0.98
9100.000000,0.98
9200.000000,0.98
9300.000000,0.98
9400.000000,0.98
9500.000000,0.98
9600.000000,0.98
9700.000000,0.98
9800.000000,0.98
9900.000000,0.98
10000.000000,0.98
10100.000000,0.98
10200.000000,0.98
10300.000000,0.98
