Tempo Decorrido,Ocupacao
100.000000,0.91
200.000000,0.93
300.000000,0.93
400.000000,0.94
500.000000,0.92
600.000000,0.92
700.000000,0.91
800.000000,0.91
900.000000,0.91
1000.000000,0.90
1100.000000,0.90
1200.000000,0.90
1300.000000,0.91
1400.000000,0.92
1500.000000,0.92
1600.000000,0.92
1700.000000,0.92
1800.000000,0.92
1900.000000,0.92
2000.000000,0.91
2100.000000,0.91
2200.000000,0.91
2300.000000,0.91
2400.000000,0.91
2500.000000,0.91
2600.000000,0.90
2700.000000,0.90
2800.000000,0.90
2900.000000,0.90
3000.000000,0.90
3100.000000,0.90
3200.000000,0.90
3300.000000,0.90
3400.000000,0.90
3500.000000,0.90
3600.000000,0.90
3700.000000,0.90
3800.000000,0.90
3900.000000,0.90
4000.000000,0.90
4100.000000,0.90
4200.000000,0.90
4300.000000,0.90
4400.000000,0.90
4500.000000,0.90
4600.000000,0.90
4700.000000,0.90
4800.000000,0.90
4900.000000,0.90
5000.000000,0.90
5100.000000,0.90
5200.000000,0.90
5300.000000,0.90
5400.000000,0.90
5500.000000,0.90
5600.000000,0.90
5700.000000,0.89
5800.000000,0.90
5900.000000,0.89
6000.000000,0.90
6100.000000,0.90
6200.000000,0.89
6300.000000,0.89
6400.000000,0.89
6500.000000,0.89
6600.000000,0.89
6700.000000,0.89
6800.000000,0.89
6900.000000,0.90
7000.000000,0.90
7100.000000,0.90
7200.000000,0.90
7300.000000,0.90
7400.000000,0.90
7500.000000,0.90
7600.000000,0.90
7700.000000,0.90
7800.000000,0.90
7900.000000,0.90
8000.000000,0.90
8100.000000,0.90
8200.000000,0.90
8300.000000,0.90
8400.000000,0.90
8500.000000,0.90
8600.000000,0.90
8700.000000,0.90
8800.000000,0.90
8900.000000,0.89
9000.000000,0.89
9100.000000,0.89
9200.000000,0.89
9300.000000,0.90
9400.000000,0.90
9500.000000,0.90
9600.000000,0.90
9700.000000,0.90
9800.000000,0.90
9900.000000,0.90
10000.000000,0.90
10100.000000,0.90
10200.000000,0.90
10300.000000,0.90
10400.000000,0.90
10500.000000,0.90
10600.000000,0.90
10700.000000,0.90
10800.000000,0.90
10900.000000,0.90
11000.000000,0.90
11100.000000,0.90
11200.000000,0.90
11300.000000,0.90
11400.000000,0.90
11500.000000,0.90
11600.000000,0.90
11700.000000,0.90
11800.000000,0.90
11900.000000,0.90
12000.000000,0.90
12100.000000,0.90
12200.000000,0.90
12300.000000,0.90
12400.000000,0.90
12500.000000,0.90
12600.000000,0.90
12700.000000,0.90
12800.000000,0.90
12900.000000,0.90
13000.000000,0.90
13100.000000,0.90
13200.000000,0.90
13300.000000,0.90
13400.000000,0.90
13500.000000,0.90
13600.000000,0.90
13700.000000,0.90
13800.000000,0.90
13900.000000,0.90
14000.000000,0.90
14100.000000,0.90
14200.000000,0.90
14300.000000,0.90
14400.000000,0.90
14500.000000,0.90
14600.000000,0.90
