Tempo Decorrido,Little
100.000000,0.00000000000000000000
200.000000,-0.00000000000014921397
300.000000,-0.00000000000120081722
400.000000,0.00000000000093791641
500.000000,0.00000000000250821586
600.000000,0.00000000000139266376
700.000000,-0.00000000000012789769
800.000000,0.00000000000171240799
900.000000,-0.00000000000042277293
1000.000000,-0.00000000001492139745
1100.000000,-0.00000000001451283538
1200.000000,-0.00000000001488942303
1300.000000,-0.00000000001465849664
1400.000000,-0.00000000002178879299
1500.000000,-0.00000000001749711487
1600.000000,-0.00000000001535482852
1700.000000,-0.00000000001004352157
1800.000000,-0.00000000001885425149
1900.000000,-0.00000000001789146609
2000.000000,-0.00000000001744027145
2100.000000,-0.00000000001010214135
2200.000000,-0.00000000001335109800
2300.000000,-0.00000000001724487220
2400.000000,-0.00000000002292033230
2500.000000,-0.00000000001880451350
2600.000000,-0.00000000002051869785
2700.000000,-0.00000000000284217094
2800.000000,0.00000000000386712884
2900.000000,-0.00000000000393107769
3000.000000,-0.00000000000976285719
3100.000000,-0.00000000000567190739
3200.000000,-0.00000000000061461947
3300.000000,0.00000000000776623210
3400.000000,0.00000000002304822999
3500.000000,0.00000000002382094522
3600.000000,0.00000000002556888035
3700.000000,0.00000000003110045554
3800.000000,0.00000000003044142716
3900.000000,0.00000000004918376817
4000.000000,0.00000000005650058199
4100.000000,0.00000000006927791674
4200.000000,0.00000000006136779973
4300.000000,0.00000000006416733811
4400.000000,0.00000000004775557727
4500.000000,0.00000000005635136802
4600.000000,0.00000000006432898658
4700.000000,0.00000000002711431080
4800.000000,0.00000000002140154720
4900.000000,0.00000000003704592189
5000.000000,0.00000000002742517324
5100.000000,0.00000000001154809581
5200.000000,0.00000000002084554751
5300.000000,0.00000000004047073787
5400.000000,0.00000000001067235189
5500.000000,0.00000000003640288071
5600.000000,0.00000000005982947471
5700.000000,0.00000000003113598268
5800.000000,0.00000000000942712575
5900.000000,0.00000000001126387872
6000.000000,-0.00000000001170619157
6100.000000,0.00000000002260591714
6200.000000,0.00000000000813216161
6300.000000,0.00000000002019184819
6400.000000,0.00000000002567901447
6500.000000,-0.00000000000481037432
6600.000000,-0.00000000002303401914
6700.000000,-0.00000000002386180142
6800.000000,-0.00000000005343103737
6900.000000,-0.00000000004140510157
7000.000000,-0.00000000003593925157
7100.000000,-0.00000000002389910492
7200.000000,-0.00000000004514078000
7300.000000,-0.00000000007454836748
7400.000000,-0.00000000006546763132
7500.000000,-0.00000000003492672818
7600.000000,-0.00000000005883293852
7700.000000,-0.00000000004234124162
7800.000000,-0.00000000002736477711
7900.000000,0.00000000004950706511
8000.000000,0.00000000002936317856
8100.000000,0.00000000002889954942
8200.000000,-0.00000000002779110275
8300.000000,-0.00000000007940315072
8400.000000,-0.00000000014695800132
8500.000000,-0.00000000012900791546
8600.000000,-0.00000000018074786112
8700.000000,-0.00000000017262458130
8800.000000,-0.00000000018221335552
8900.000000,-0.00000000017245938011
9000.000000,-0.00000000015645795770
9100.000000,-0.00000000015131007558
9200.000000,-0.00000000014787460145
9300.000000,-0.00000000014079581945
9400.000000,-0.00000000018182433337
9500.000000,-0.00000000022103385788
9600.000000,-0.00000000021563550945
9700.000000,-0.00000000022456525528
9800.000000,-0.00000000022009771783
9900.000000,-0.00000000026458835123
10000.000000,-0.00000000023973889540
10100.000000,-0.00000000024118484987
10200.000000,-0.00000000021745272250
10300.000000,-0.00000000022047430548
10400.000000,-0.00000000020919799226
10500.000000,-0.00000000021730173216
10600.000000,-0.00000000022213697548
10700.000000,-0.00000000014938095205
10800.000000,-0.00000000010776268766
10900.000000,-0.00000000013421797007
11000.000000,-0.00000000015375256623
11100.000000,-0.00000000015767120942
11200.000000,-0.00000000012594725263
11300.000000,-0.00000000011212897277
11400.000000,-0.00000000012589218557
11500.000000,-0.00000000005251088453
11600.000000,-0.00000000007658940149
11700.000000,-0.00000000007687717130
11800.000000,-0.00000000012532908045
11900.000000,-0.00000000005682387894
12000.000000,0.00000000002027178425
12100.000000,-0.00000000000417443857
12200.000000,0.00000000002917488473
12300.000000,-0.00000000000554756241
12400.000000,0.00000000007324452156
12500.000000,0.00000000006178169087
12600.000000,0.00000000002300382107
12700.000000,0.00000000003630873380
12800.000000,0.00000000006122036211
12900.000000,0.00000000007270628544
13000.000000,0.00000000013059242576
13100.000000,0.00000000010892264868
13200.000000,0.00000000011038103764
13300.000000,0.00000000006557598908
13400.000000,0.00000000001184119469
13500.000000,0.00000000010972911468
13600.000000,0.00000000015524648234
13700.000000,0.00000000014636469814
13800.000000,0.00000000017800338981
13900.000000,0.00000000021266188810
14000.000000,0.00000000021412915885
14100.000000,0.00000000014564349726
14200.000000,0.00000000010089351576
14300.000000,0.00000000005703348904
14400.000000,0.00000000005231726163
14500.000000,0.00000000002400568633
14600.000000,0.00000000002947864175
14700.000000,0.00000000002578914859
14800.000000,0.00000000003211120259
14900.000000,0.00000000007962874804
15000.000000,0.00000000006407319120
15100.000000,0.00000000000368238773
15200.000000,0.00000000010004619355
15300.000000,0.00000000017216805759
15400.000000,0.00000000029797853074
15500.000000,0.00000000038931879942
15600.000000,0.00000000035676706034
15700.000000,0.00000000038243896938
15800.000000,0.00000000034536995486
15900.000000,0.00000000030889069080
16000.000000,0.00000000028581759182
16100.000000,0.00000000038678749092
16200.000000,0.00000000037177194656
16300.000000,0.00000000025052493413
16400.000000,0.00000000026708057987
16500.000000,0.00000000030103741722
16600.000000,0.00000000032806823924
16700.000000,0.00000000030084201796
16800.000000,0.00000000030494184955
16900.000000,0.00000000025824675731
17000.000000,0.00000000031460345440
17100.000000,0.00000000026917845730
17200.000000,0.00000000032402702743
17300.000000,0.00000000036416558657
17400.000000,0.00000000018305357230
17500.000000,0.00000000020568968750
17600.000000,0.00000000018789592104
17700.000000,0.00000000019347190516
17800.000000,0.00000000013369216845
17900.000000,0.00000000011657697030
18000.000000,0.00000000019085000247
18100.000000,0.00000000023332447086
18200.000000,0.00000000025649171675
18300.000000,0.00000000024150104139
18400.000000,0.00000000020925483568
18500.000000,0.00000000013478462790
18600.000000,-0.00000000002989963832
18700.000000,-0.00000000001262989713
18800.000000,-0.00000000003278444183
18900.000000,-0.00000000009640999110
19000.000000,-0.00000000020183321681
19100.000000,-0.00000000022129853505
19200.000000,-0.00000000021353763202
19300.000000,-0.00000000024355806261
19400.000000,-0.00000000029485747177
19500.000000,-0.00000000037802116992
19600.000000,-0.00000000042536996148
19700.000000,-0.00000000037124792129
19800.000000,-0.00000000029332625218
19900.000000,-0.00000000035241320973
20000.000000,-0.00000000040837377924
20100.000000,-0.00000000038387071299
20200.000000,-0.00000000045548453897
20300.000000,-0.00000000046903281259
20400.000000,-0.00000000047781334445
20500.000000,-0.00000000046920156649
20600.000000,-0.00000000054377125025
20700.000000,-0.00000000041314329735
20800.000000,-0.00000000032836666719
20900.000000,-0.00000000037005243314
21000.000000,-0.00000000029426416859
21100.000000,-0.00000000027662849789
21200.000000,-0.00000000011185541382
21300.000000,-0.00000000010716938448
21400.000000,-0.00000000013671552779
21500.000000,-0.00000000020526158551
21600.000000,-0.00000000018494716869
21700.000000,0.00000000001578470687
21800.000000,-0.00000000017423573695
21900.000000,-0.00000000015468160086
22000.000000,-0.00000000018112267242
22100.000000,-0.00000000028059687907
22200.000000,-0.00000000034670932791
22300.000000,-0.00000000045567638551
22400.000000,-0.00000000057397997466
22500.000000,-0.00000000062455640659
22600.000000,-0.00000000071206507357
22700.000000,-0.00000000069992545093
22800.000000,-0.00000000072207484436
22900.000000,-0.00000000081478290781
23000.000000,-0.00000000096357943846
